"","purpose","month","Akershus","Aust-Agder","Buskerud","Finnmark - Finnmárku","Hedmark","Hordaland","Møre og Romsdal","Nordland","Oppland","Oslo","Rogaland","Sogn og Fjordane","Svalbard","Telemark","Troms - Romsa","Vest-Agder","Vestfold","Østfold","Trondelag","Norge"
"64","Ferie, fritid",1991-04-01,3105,13230,100859,3153,19413,25087,6999,6125,70554,25067,14116,5688,0,25983,4211,4878,4325,1421,17237,351451
"65","Ferie, fritid",1991-05-01,7239,5893,29375,4386,9648,54155,12639,9032,26686,44481,14088,30622,0,16725,6544,8723,5577,3089,18671,307573
"66","Ferie, fritid",1991-06-01,15636,19495,75104,40274,35694,123042,41390,50205,127155,67258,22595,73595,0,43859,24855,24068,15345,7641,65755,872966
"67","Ferie, fritid",1991-07-01,26340,54751,160843,77403,60934,164986,62098,90162,251776,127261,36616,112428,0,98408,46140,78962,38754,14046,112570,1614478
"68","Ferie, fritid",1991-08-01,20395,24268,120390,39012,37682,144872,41437,45389,182706,114081,25333,78033,0,53142,22188,30946,14291,8111,53624,1055900
"69","Ferie, fritid",1991-09-01,12189,10616,57998,6585,14870,48681,11233,8800,104139,46764,12560,25003,0,30140,8297,6928,3540,2359,24336,435038
"70","Ferie, fritid",1991-10-01,5800,8609,33502,2295,12080,23916,6859,6751,36890,38420,12715,7424,0,16386,5483,4684,3351,1173,18316,244654
"71","Ferie, fritid",1991-11-01,4709,3740,27698,2628,13607,21726,9400,9069,34104,36386,11377,3627,0,13234,6322,5137,4181,1982,24118,233045
"72","Ferie, fritid",1991-12-01,4628,10753,67661,3163,21906,22060,6859,7366,63102,21104,9748,6086,0,32919,5200,4297,4310,2423,17969,311554
"73","Ferie, fritid",1992-01-01,4301,24580,84708,1825,29307,12845,3077,4793,92731,21419,6885,3307,0,36703,5360,3647,1714,1146,17593,355941
"74","Ferie, fritid",1992-02-01,6049,30875,161190,2246,45570,19581,3794,7211,171042,24079,8885,5656,0,59886,6569,6960,4179,2567,24587,590926
"75","Ferie, fritid",1992-03-01,4536,27193,119366,3498,37017,25634,8872,7739,156617,25480,6949,5346,0,39426,7240,5584,2743,2068,27639,512947
"76","Ferie, fritid",1992-04-01,4524,18028,109563,4384,21119,32741,9003,8790,111017,24273,11208,10945,0,23911,8301,5141,4459,2115,29620,439142
"77","Ferie, fritid",1992-05-01,12692,8810,38753,4144,9389,58178,13822,10792,36406,45176,11530,24883,0,17356,7937,8621,7108,4286,19124,339007
"78","Ferie, fritid",1992-06-01,24163,20067,83018,45937,26274,129573,46498,55343,129502,77965,23323,80287,0,53752,27077,27960,14588,6929,63097,935353
"79","Ferie, fritid",1992-07-01,45437,60110,171420,78612,60406,185556,74230,98981,279389,140160,38809,119426,0,110014,49448,76269,38464,12596,112279,1751606
"80","Ferie, fritid",1992-08-01,35200,32848,120693,34932,40900,154284,46443,43812,201546,112508,27918,92186,0,56727,23964,25842,14486,8239,65543,1138071
"81","Ferie, fritid",1992-09-01,11217,11390,61211,8432,20571,46151,14097,8441,111439,46025,11714,25083,0,29601,7182,4376,3574,3283,23723,447510
"82","Ferie, fritid",1992-10-01,7697,9964,36771,2199,14947,21355,7508,5878,50005,34521,6599,7971,0,16605,7473,5069,3910,1621,18730,258823
